Long Lat Mag_nT
-116.59935006189352 36.758858578451466 48126.1
-116.5993598751432 36.75886434473941 48129.8
-116.59937097743716 36.7588710080468 48133.6
-116.59938353032923 36.75887863371887 48136.7
-116.59939730360207 36.75888702552374 48139.7
-116.5994122243892 36.75889610395159 48144.4
-116.59942818748765 36.75890578381376 48150.1
-116.59944519500957 36.75891604816563 48155.6
-116.59946292361128 36.758926705411945 48160.5
-116.59948119932136 36.75893764803012 48163.9
-116.59949987083029 36.75894878011411 48168.0
-116.5995188588044 36.75896003563 48173.9
-116.59953803327352 36.758971333934646 48180.2
-116.59955734397327 36.75898263701923 48187.4
-116.59957676255873 36.758993927711295 48196.2
-116.5995963096854 36.75900521584719 48204.2
-116.59961594802716 36.7590165249603 48211.3
-116.59963562941256 36.75902787613399 48217.4
-116.5996553222014 36.759039293871886 48224.9
-116.59967496660468 36.75905078879323 48232.8
-116.59969453234174 36.759062341479165 48240.2
-116.59971400635028 36.759073939807855 48246.1
-116.59973337941908 36.75908556267492 48249.6
-116.59975261640842 36.75909716763811 48254.1
-116.59977173804614 36.759108722853085 48259.4
-116.59979075469568 36.75912021199039 48264.6
-116.5998096735386 36.759131627491165 48269.9
-116.59982850753823 36.75914295821286 48273.9
-116.59984729370755 36.759154231324985 48277.3
-116.5998660475672 36.759165466399445 48281.6
-116.59988477474148 36.75917668716227 48284.6
-116.599903435839 36.75918791275602 48285.8
-116.5999220133846 36.75919915088489 48287.4
-116.5999405158622 36.75921041291002 48290.3
-116.59995897456665 36.759221707066615 48293.9
-116.59997742712964 36.75923302537028 48296.7
-116.59999592105332 36.75924434131515 48297.4
-116.60001448885916 36.75925563133883 48298.0
-116.60003312650824 36.759266874022416 48299.2
-116.60005183785594 36.75927805735109 48299.2
-116.600070566206 36.75928917854477 48297.6
-116.60008924890197 36.75930022395904 48294.9
-116.6001078432546 36.759311195920176 48292.8
-116.6001262783514 36.75932210218547 48291.8
-116.60014453725437 36.75933296964139 48289.9
-116.60016264175168 36.75934382489389 48287.4
-116.60018064383571 36.75935470414517 48285.3
-116.60019857434492 36.75936563510332 48283.7
-116.60021648940324 36.75937662117761 48280.8
-116.60023442730736 36.75938766305171 48276.0
-116.60025241893136 36.759398755700005 48271.2
-116.60027049688122 36.75940990789305 48266.3
-116.6002886693374 36.75942111878079 48263.0
-116.60030694877948 36.75943239419502 48259.9
-116.60032533515412 36.75944373766069 48255.1
-116.60034381821522 36.75945515249001 48248.3
-116.6003623663384 36.759466605711886 48242.1
-116.60038098130892 36.7594780751426 48237.4
-116.60039966852382 36.75948954347681 48234.1
-116.60041848263828 36.75950100724796 48231.1
-116.60043744205468 36.75951246569825 48227.0
-116.60045653724968 36.759523913197214 48222.3
-116.60047574204992 36.759535344963055 48218.0
-116.60049504374284 36.75954677388753 48215.3
-116.600514382466 36.759558206019015 48212.4
-116.60053370916982 36.75956963707569 48209.2
-116.60055298509252 36.75958106477124 48207.2
-116.6005721554812 36.75959248338626 48205.3
-116.60059122014437 36.75960390129799 48203.9
-116.6006101981918 36.75961533707155 48202.0
-116.60062912127948 36.7596268156147 48201.0
-116.60064802256872 36.75963836557825 48200.9
-116.6006669544532 36.75964999340885 48200.1
-116.60068595762333 36.75966170357064 48198.0
-116.6007050584146 36.75967348464033 48196.5
-116.6007243193151 36.75968531500356 48195.4
-116.60074376645836 36.759697157930376 48194.8
-116.60076341934187 36.759708988279854 48195.7
-116.60078327331304 36.75972078816719 48197.2
-116.60080336061895 36.759732564991694 48196.7
-116.60082358614216 36.7597443217184 48195.5
-116.60084386638935 36.7597560495386 48195.7
-116.6008641239148 36.759767742308114 48197.2
-116.60088428698448 36.759779387006255 48199.0
-116.60090434295148 36.75979099464648 48201.5
-116.60092427806272 36.759802575609726 48203.5
-116.60094409956862 36.75981413552379 48205.5
-116.60096379834896 36.759825657515954 48207.3
-116.60098339808157 36.75983713230968 48208.4
-116.6010028918144 36.7598485520784 48209.6
-116.60102226714817 36.75985991110272 48210.8
-116.60104150583018 36.75987119146542 48211.9
-116.60106064221785 36.75988240277875 48212.8
-116.6010796961681 36.759893554781655 48214.7
-116.60109868291778 36.759904662337696 48216.2
-116.60111762711556 36.75991573392706 48217.6
