Long Lat Mag_nT
-116.603615319303 36.763763742891406 48416.8
-116.60363700947096 36.76376219472446 48417.7
-116.60365961640832 36.763760828432886 48419.1
-116.60368323637483 36.76375970823308 48421.8
-116.60370755190928 36.763758808211385 48424.7
-116.60373247939602 36.763758085255255 48426.8
-116.60375786771972 36.76375748638092 48428.5
-116.60378357122164 36.76375695598502 48431.0
-116.60380935495456 36.76375643127082 48433.2
-116.6038350721386 36.76375588461779 48435.2
-116.60386057238551 36.76375531169885 48436.8
-116.60388563814077 36.763754722457456 48438.7
-116.60391019138592 36.76375414700133 48440.1
-116.60393415541536 36.76375361591054 48440.4
-116.6039575059026 36.76375315860957 48440.3
-116.60398019728304 36.76375282343332 48440.5
-116.6040023542096 36.76375262246967 48441.0
-116.60402413348612 36.76375256435912 48441.3
-116.60404570189048 36.76375265324753 48440.8
-116.6040672768765 36.76375289998248 48439.8
-116.60408901108552 36.7637532723076 48439.0
-116.6041110819634 36.7637537520398 48438.1
-116.60413359744356 36.76375432449904 48436.4
-116.60415668607368 36.763754987059535 48434.3
-116.604180336322 36.76375570618223 48432.0
-116.60420431216684 36.763756433122126 48429.3
-116.60422861497436 36.76375711729916 48426.3
-116.60425317397936 36.763757679237685 48423.3
-116.60427789100288 36.76375808582235 48419.9
-116.60430267128476 36.76375831526982 48416.0
-116.60432744222092 36.763758361893416 48412.0
-116.60435216647548 36.763758209202784 48407.9
-116.6043768376464 36.763757906577766 48403.6
-116.604401381458 36.76375749190566 48399.0
-116.60442574244624 36.76375700694073 48394.2
-116.60444984547271 36.763756499031125 48389.3
-116.60447370715116 36.76375602934387 48384.5
-116.6044973480548 36.76375564722705 48379.8
-116.6045208330031 36.76375538654468 48375.5
-116.60454422738616 36.763755290865895 48370.9
-116.60456761599526 36.76375534117796 48366.4
-116.6045911084832 36.76375552182896 48362.3
-116.60461477507005 36.76375580938905 48357.9
-116.60463867487324 36.76375617631696 48352.7
-116.60466277660832 36.76375656322684 48347.3
-116.60468706464752 36.76375692896847 48341.7
-116.60471148779116 36.763757240241794 48335.8
-116.60473600372003 36.76375745705822 48330.1
-116.604760565052 36.76375757016389 48324.6
-116.60478512300288 36.76375757627217 48319.4
-116.60480965474731 36.76375748895684 48314.5
-116.60483416746996 36.76375732836912 48309.5
-116.60485867679192 36.763757143179696 48304.5
-116.60488317390003 36.7637569689553 48299.5
-116.6049076634198 36.763756827619765 48294.2
-116.60493214695552 36.76375673993888 48288.7
-116.60495663094176 36.76375669680672 48284.0
-116.60498114288312 36.7637566877734 48279.2
-116.60500570298092 36.763756699973776 48274.7
