Long Lat Mag_nT
-116.60045934049091 36.77097432054112 48319.0
-116.6004739715337 36.77097315740863 48318.6
-116.60048989635273 36.77097214540288 48319.1
-116.60050708758808 36.770971398496016 48320.0
-116.60052519751576 36.77097091773894 48320.4
-116.60054426406832 36.77097067654059 48320.7
-116.6005643252212 36.770970635650016 48320.7
-116.6005855656834 36.770970749522405 48319.9
-116.60060787258124 36.77097091822876 48319.2
-116.60063126285375 36.77097107510773 48318.9
-116.60065567432154 36.77097116986302 48318.0
-116.6006811076128 36.770971148923216 48317.7
-116.60070721633312 36.7709710097284 48316.6
-116.60073369506496 36.770970747087134 48314.2
-116.60076024834667 36.77097036022232 48311.4
-116.60078656431008 36.77096983778285 48309.2
-116.60081245008224 36.77096921627896 48307.9
-116.6008377249112 36.77096852635415 48306.3
-116.60086226489396 36.77096780098545 48304.4
-116.60088587341971 36.770967075192814 48302.9
-116.6009086533402 36.77096638398863 48301.3
-116.60093065678316 36.77096575347223 48299.9
-116.60095199765404 36.77096519802172 48299.2
-116.60097277843792 36.77096474248918 48298.1
-116.60099326643696 36.77096438343918 48297.3
-116.6010136843172 36.77096411896237 48296.9
-116.60103424247482 36.77096394843009 48296.6
-116.60105519206184 36.77096388433815 48296.1
-116.60107664149936 36.77096390995194 48295.4
-116.60109871092844 36.77096401512842 48294.7
-116.6011214496569 36.77096418960002 48294.2
-116.60114492199318 36.77096442725942 48292.9
-116.60116893297504 36.770964692723695 48290.7
-116.60119336247833 36.77096495246255 48288.3
-116.60121807696268 36.770965178312046 48286.2
-116.6012429829486 36.77096534352064 48284.3
-116.60126797250284 36.77096545326732 48282.3
-116.60129297487173 36.77096551817879 48280.1
-116.6013179458956 36.77096554826882 48277.6
-116.60134285099808 36.77096554777568 48275.4
-116.60136768662012 36.770965529880826 48273.5
-116.6013924461296 36.77096549955311 48271.4
-116.60141712903656 36.77096545809555 48268.6
-116.60144171235429 36.770965396155646 48265.7
-116.6014662038962 36.77096530745213 48263.4
-116.60149060020557 36.770965188231806 48260.8
-116.60151490854356 36.77096504158921 48258.1
-116.60153913237184 36.77096487080988 48255.8
-116.60156329964046 36.77096468893031 48253.5
-116.601587422551 36.770964505284645 48250.9
-116.60161152337528 36.770964325885394 48248.5
-116.60163563437736 36.77096415944133 48246.3
-116.60165977625152 36.77096400981887 48244.2
-116.60168396156864 36.77096387767044 48242.1
-116.60170819455392 36.77096376151801 48239.8
-116.60173247600795 36.770963659483975 48237.4
-116.60175678787928 36.77096355981959 48235.7
-116.60178111840088 36.77096345174792 48234.2
-116.6018054558433 36.770963327928975 48232.9
-116.60182979905326 36.77096318703629 48231.7
-116.60185416012504 36.77096304046081 48230.9
-116.60187855728984 36.770962897563976 48230.1
-116.601903014462 36.77096276360136 48230.0
-116.60192755890834 36.77096265033933 48230.2
-116.60195217188334 36.7709625664566 48230.4
-116.60197683748764 36.77096252059516 48230.7
-116.60200153865924 36.77096252051009 48231.4
-116.60202625601228 36.77096257893709 48232.6
-116.6020509633384 36.77096268347885 48233.8
-116.6020756558352 36.77096282107001 48235.0
-116.6021003147527 36.77096296921576 48236.9
-116.60212491615752 36.77096309174232 48239.3
-116.60214946936918 36.77096316530499 48241.6
-116.60217396963058 36.77096318013773 48243.8
-116.60219841462184 36.77096313981904 48246.4
-116.6022228134414 36.77096305231288 48249.1
-116.60224719771207 36.7709629535748 48251.3
-116.60227158221144 36.77096287605039 48253.9
-116.60229599772074 36.77096284364842 48256.8
-116.60232046330546 36.77096287503952 48259.1
-116.60234497022964 36.77096295095191 48261.5
-116.60236954148652 36.77096304872195 48264.3
-116.6023941930778 36.77096314684657 48267.0
-116.60241894555868 36.770963229544535 48269.0
-116.6024437814606 36.77096329163894 48270.7
-116.60246868053528 36.77096332548928 48272.8
-116.60249360936152 36.77096332705836 48274.8
-116.602518526415 36.77096329472298 48276.6
-116.60254340957962 36.77096324371075 48278.2
-116.60256823591402 36.77096319027155 48279.7
-116.60259299677564 36.770963152127536 48281.1
-116.60261768253103 36.77096316124266 48282.4
-116.60264229757868 36.770963238394046 48283.6
-116.60266686129432 36.77096340064432 48285.2
-116.60269139712784 36.770963656113246 48286.8
-116.60271591883452 36.77096401354976 48288.4
-116.60274043836368 36.77096444198554 48289.8
-116.6027649874147 36.77096491565937 48291.5
-116.6027895828968 36.770965406597526 48292.9
-116.60281425457032 36.77096588548893 48294.4
