Counter,Date,Time,LatitudeSensor1,LongitudeSensor1,MagSensor1,Signal1,Track,LocationSource,Hdop,FixQuality, SatellitesUsed, Altitude,HeightOverEllipsoid,SpeedOverGround,MagneticVariation,VariationDirection,ModeIndicator,GgaSentence,RmcSentence,EventCode,EventInfo,EventText,EventData,,,,,,,,,,,,,,,,,,,,,,
15185,7/6/2022,26:14.3,43.9887745,-112.2965443,53093.594,1470,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15186,7/6/2022,26:14.4,43.9887745,-112.2965443,53095.3,1460,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15187,7/6/2022,26:14.5,43.9887745,-112.2965443,53096.164,1465,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15188,7/6/2022,26:14.6,43.9887745,-112.2965443,53096.068,1470,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15189,7/6/2022,26:14.7,43.9887745,-112.2965443,53095.323,1472,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15190,7/6/2022,26:14.8,43.9887745,-112.2965443,53094.482,1479,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15191,7/6/2022,26:14.9,43.9887745,-112.2965443,53094.866,1489,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15192,7/6/2022,26:15.0,43.9887745,-112.2965443,53095.228,1487,0,G,0.6,2,18,1482.59,-17,0.2,0, ,D,'$GPGGA,162615,4359.32647,N,11217.79266,W,2,18,0.6,1482.59,M,-17,M,,*6A','$GPRMC,162615,A,4359.32647,N,11217.79266,W,0.2,0,60722,,,D*7A'
15193,7/6/2022,26:15.1,43.9887745,-112.2965443,53095.684,1487,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15194,7/6/2022,26:15.2,43.9887745,-112.2965443,53097.269,1479,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15195,7/6/2022,26:15.3,43.9887745,-112.2965443,53098.997,1477,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15196,7/6/2022,26:15.4,43.9887745,-112.2965443,53099.623,1477,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15197,7/6/2022,26:15.5,43.9887745,-112.2965443,53099.911,1472,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15198,7/6/2022,26:15.6,43.9887745,-112.2965443,53099.671,1467,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15199,7/6/2022,26:15.7,43.9887745,-112.2965443,53098.663,1470,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15200,7/6/2022,26:15.8,43.9887745,-112.2965443,53097.749,1472,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15201,7/6/2022,26:15.9,43.9887745,-112.2965443,53097.632,1472,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15202,7/6/2022,26:16.0,43.9887745,-112.2965443,53097.699,1472,0,G,0.6,2,18,1482.59,-17,0.1,0, ,D,'$GPGGA,162616,4359.32647,N,11217.79266,W,2,18,0.6,1482.59,M,-17,M,,*69','$GPRMC,162616,A,4359.32647,N,11217.79266,W,0.1,0,60722,,,D*7A'
15203,7/6/2022,26:16.1,43.9887745,-112.2965443,53098.469,1467,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15204,7/6/2022,26:16.2,43.9887745,-112.2965443,53098.327,1465,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15205,7/6/2022,26:16.3,43.9887745,-112.2965443,53098.11,1465,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15206,7/6/2022,26:16.4,43.9887745,-112.2965443,53097.966,1467,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15207,7/6/2022,26:16.5,43.9887745,-112.2965443,53097.891,1467,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15208,7/6/2022,26:16.6,43.9887745,-112.2965443,53097.774,1470,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15209,7/6/2022,26:16.7,43.9887745,-112.2965443,53098.085,1470,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15210,7/6/2022,26:16.8,43.9887745,-112.2965443,53098.735,1470,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15211,7/6/2022,26:16.9,43.9887745,-112.2965443,53099.071,1467,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15212,7/6/2022,26:17.0,43.9887745,-112.2965443,53098.949,1467,0,G,0.6,2,18,1482.59,-17,0,0, ,D,'$GPGGA,162617,4359.32647,N,11217.79266,W,2,18,0.6,1482.59,M,-17,M,,*68','$GPRMC,162617,A,4359.32647,N,11217.79266,W,0,0,60722,,,D*7A'
15242,7/6/2022,26:20.0,43.9887745,-112.2965443,53099.479,1467,0,G,0.6,2,18,1482.59,-17,0,0, ,D,'$GPGGA,162620,4359.32647,N,11217.79266,W,2,18,0.6,1482.59,M,-17,M,,*6C','$GPRMC,162620,A,4359.32647,N,11217.79266,W,0,0,60722,,,D*7E'
15243,7/6/2022,26:20.1,43.9887745,-112.2965443,53099.551,1465,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15244,7/6/2022,26:20.2,43.9887745,-112.2965443,53099.431,1467,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15245,7/6/2022,26:20.3,43.9887745,-112.2965443,53099.477,1467,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15246,7/6/2022,26:20.4,43.9887745,-112.2965443,53099.383,1467,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15247,7/6/2022,26:20.5,43.9887745,-112.2965443,53099.407,1467,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15248,7/6/2022,26:20.6,43.9887745,-112.2965443,53099.384,1467,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15249,7/6/2022,26:20.7,43.9887745,-112.2965443,53099.477,1465,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
