lat,lon,el_ft
43.99112862,-112.4182641,"4853.6	"
43.99111251,-112.4172292,"4855.6						"
43.99111251,-112.4172262,"4855.6						"
43.99111322,-112.4172203,"4855.6						"
43.99111322,-112.4172143,"4855.7						"
43.99111322,-112.4172084,"4855.7						"
43.99111322,-112.4171995,"4855.7						"
43.99111321,-112.4171946,"4855.7						"
43.99111321,-112.4171906,"4855.7						"
43.9911125,-112.4171817,"4855.7						"
43.9911125,-112.4171768,"4855.8						"
43.9911125,-112.4171659,"4855.8						"
43.99111178,-112.4171639,"4855.8						"
43.99111178,-112.417158,"4855.8						"
43.99111036,-112.4171521,"4855.8						"
43.99111036,-112.4171491,"4855.8						"
43.99111036,-112.4171442,"4855.8						"
43.99110964,-112.4171333,"4855.9						"
43.99110964,-112.4171313,"4855.9						"
43.99110964,-112.4171234,"4855.9						"
43.99110964,-112.4171165,"4855.9						"
43.99110964,-112.4171125,"4855.9						"
43.99110964,-112.4171096,"4855.9						"
43.99110964,-112.4171026,"4855.9						"
43.99110964,-112.4170977,"4855.9						"
43.99110892,-112.4170947,"4855.9						"
43.99110821,-112.4170918,"4856.0						"
43.9911075,-112.4170829,"4856.0						"
43.99110749,-112.417079,"4856.0						"
43.9911082,-112.4170709,"4856.0						"
43.9911082,-112.4170679,"4856.0						"
43.99110749,-112.417062,"4856.0						"
43.99110677,-112.417054,"4856.1						"
43.99110677,-112.417047,"4856.1						"
43.99110677,-112.417043,"4856.1						"
43.99110605,-112.4170361,"4856.1						"
43.99110605,-112.4170341,"4856.1						"
43.99110605,-112.4170271,"4856.1						"
43.99110533,-112.4170222,"4856.2						"
43.99110533,-112.4170132,"4856.2						"
43.99110461,-112.4169923,"4856.2						"
43.9911039,-112.4169864,"4856.3						"
43.99110318,-112.4169804,"4856.3						"
43.99110247,-112.4169765,"4856.3						"
43.99110247,-112.4169695,"4856.3						"
43.99110246,-112.4169645,"4856.3						"
43.99110246,-112.4169566,"4856.3						"
43.99110246,-112.4169497,"4856.4						"
43.99110246,-112.4169447,"4856.4						"
43.99110174,-112.4169368,"4856.4						"
43.99110103,-112.4169328,"4856.4						"
43.99110103,-112.4169278,"4856.4						"
43.99110032,-112.416915,"4856.5						"
43.99110031,-112.416908,"4856.5						"
43.99110031,-112.4169021,"4856.5						"
43.99110031,-112.4168991,"4856.5						"
43.9910996,-112.4168932,"4856.5						"
43.99109889,-112.4168804,"4856.6						"
43.99109889,-112.4168715,"4856.6						"
43.99109889,-112.4168606,"4856.6						"
43.99109888,-112.4168547,"4856.6						"
43.99109817,-112.4168497,"4856.6						"
43.99109746,-112.4168418,"4856.7						"
43.99109746,-112.416829,"4856.7						"
43.99109746,-112.4168181,"4856.7						"
43.99109746,-112.4168092,"4856.8						"
43.99109746,-112.4168073,"4856.8						"
43.99109675,-112.4168013,"4856.8						"
43.99109675,-112.4167905,"4856.8						"
43.99109674,-112.4167786,"4856.8						"
43.99109674,-112.4167727,"4856.9						"
43.99109745,-112.4167658,"4856.9						"
43.99109745,-112.4167579,"4856.9						"
43.99109745,-112.416752,"4856.9						"
43.99109744,-112.416747,"4856.9						"
43.99109743,-112.4167342,"4857.0						"
43.99109672,-112.4167312,"4857.0						"
43.99109672,-112.4167263,"4857.0						"
43.99109672,-112.4167155,"4857.0						"
43.99109671,-112.4167105,"4857.0						"
43.99109671,-112.4167036,"4857.0						"
43.99109671,-112.4166899,"4857.1						"
43.9910967,-112.416684,"4857.1						"
43.9910967,-112.41668,"4857.1						"
43.9910967,-112.4166712,"4857.1						"
43.9910967,-112.4166672,"4857.1						"
43.99109599,-112.4166613,"4857.1						"
43.99109599,-112.4166554,"4857.1						"
43.99109598,-112.4166486,"4857.2						"
43.99109528,-112.4166466,"4857.2						"
43.99109527,-112.4166387,"4857.2						"
43.99109456,-112.4166299,"4857.2						"
43.99109456,-112.416627,"4857.2						"
43.99109456,-112.4166191,"4857.2						"
43.99109456,-112.4166132,"4857.3						"
43.99109456,-112.4166063,"4857.3						"
43.99109455,-112.4165975,"4857.3						"
43.99109455,-112.4165907,"4857.3						"
43.99109455,-112.4165799,"4857.3						"
43.99109454,-112.4165671,"4857.4						"
43.99109525,-112.4165563,"4857.4						"
43.99109596,-112.4165455,"4857.4						"
43.99109666,-112.4165357,"4857.4						"
43.99109666,-112.4165328,"4857.5						"
43.99109666,-112.4165279,"4857.5						"
43.99109666,-112.416522,"4857.5						"
43.99109666,-112.4165161,"4857.5						"
43.99109666,-112.4165102,"4857.5						"
43.99109666,-112.4165014,"4857.5						"
43.99109737,-112.4164906,"4857.5						"
43.99109737,-112.4164847,"4857.5						"
43.99109736,-112.4164759,"4857.6						"
43.99109807,-112.416467,"4857.6						"
43.99109807,-112.4164611,"4857.6						"
43.99109807,-112.4164523,"4857.6						"
43.99109807,-112.4164425,"4857.6						"
43.99109807,-112.4164376,"4857.6						"
43.99109807,-112.4164327,"4857.6						"
43.99109807,-112.4164248,"4857.6						"
43.99109807,-112.4164209,"4857.6						"
