lon,lat,easting,northing
-112.3780086,43.9630865,389450,4868695
-112.3775675,43.96291627,389485,4868676
-112.3772321,43.96274941,389512,4868657
-112.3767836,43.96258037,389547,4868638
-112.37634,43.96241064,389583,4868618
-112.3759013,43.96216078,389617,4868590
-112.3754587,43.96199101,389653,4868570
-112.3750156,43.96190088,389688,4868560
-112.3745729,43.9617312,389723,4868540
-112.3741265,43.96164172,389759,4868530
-112.3735698,43.96147011,389803,4868510
-112.3731295,43.96130021,389838,4868490
-112.3726904,43.96113012,389873,4868471
-112.3722512,43.96096004,389908,4868452
-112.371808,43.96087009,389943,4868441
-112.3714849,43.96062237,389969,4868413
-112.371045,43.96045251,390004,4868394
-112.370608,43.96028201,390039,4868374
-112.3701658,43.96019191,390074,4868363
-112.3697215,43.96010233,390109,4868353
-112.3692801,43.95993294,390144,4868333
-112.3688362,43.95984331,390180,4868323
-112.3683938,43.95967427,390215,4868304
-112.3679475,43.9596644,390251,4868302
-112.3673984,43.95949171,390295,4868282
-112.3669565,43.95940166,390330,4868271
-112.3665116,43.95939145,390366,4868270
-112.3660731,43.95922151,390400,4868250
-112.3656316,43.9591314,390436,4868240
-112.365189,43.95904161,390471,4868229
-112.3647458,43.95895203,390506,4868219
-112.3643027,43.95886246,390542,4868208
-112.3638632,43.95869298,390577,4868189
-112.3634258,43.95852283,390612,4868169
-112.362875,43.95842956,390656,4868158
-112.3625503,43.95826144,390681,4868139
-112.3621172,43.95801106,390716,4868111
-112.3616788,43.95784127,390750,4868091
-112.3612383,43.9576723,390785,4868072
-112.3605863,43.95741544,390837,4868042
-112.3601556,43.95716399,390871,4868014
-112.3596051,43.95707048,390915,4868003
-112.3592772,43.95698191,390942,4867992
-112.3588461,43.95673051,390976,4867964
-112.358406,43.95663975,391011,4867953
-112.3579723,43.95646762,391045,4867934
-112.3575422,43.95621537,391079,4867905
-112.3568853,43.95603822,391132,4867884
-112.3566713,43.9558724,391149,4867866
-112.3562314,43.95578135,391184,4867855
-112.3554557,43.9557616,391246,4867852
-112.3550053,43.9558326,391282,4867859
-112.3545577,43.95590177,391318,4867866
-112.3541145,43.95589033,391354,4867864
-112.3536638,43.95596137,391390,4867872
-112.3532119,43.95611104,391427,4867888
-112.3526517,43.95625622,391472,4867903
-112.3523116,43.95640797,391499,4867920
-112.3518592,43.95655787,391536,4867936
-112.3514118,43.95662683,391572,4867943
-112.3509612,43.95677558,391608,4867959
-112.350509,43.95692522,391645,4867975
-112.3500622,43.95699369,391681,4867982
-112.3496112,43.95714258,391717,4867998
-112.3491601,43.9572915,391754,4868014
-112.348713,43.95736001,391790,4868021
-112.3482618,43.95750896,391826,4868036
-112.3478101,43.95765823,391863,4868052
-112.3473613,43.95772794,391899,4868060
-112.3469087,43.9578779,391936,4868076
-112.3464599,43.95794761,391972,4868083
-112.3460114,43.95801714,392008,4868090
-112.3455594,43.95816662,392044,4868106
-112.3451073,43.95831611,392081,4868122
-112.3444292,43.95854036,392136,4868146
-112.3440882,43.9586926,392163,4868163
-112.343636,43.95884215,392200,4868179
-112.3431837,43.95899176,392236,4868195
-112.3427274,43.95922176,392273,4868219
-112.3423865,43.95937413,392301,4868236
-112.3420453,43.95952661,392329,4868252
-112.3415929,43.95967638,392365,4868269
-112.3411366,43.95990644,392402,4868293
-112.3407953,43.96005887,392430,4868310
-112.3403327,43.96044821,392468,4868353
-112.3399956,43.96051986,392495,4868360
-112.3396511,43.96075197,392523,4868385
-112.3391991,43.96090112,392560,4868401
-112.338743,43.961131,392597,4868426
-112.3381712,43.96143922,392643,4868460
-112.3374855,43.96182391,392699,4868502
-112.3373706,43.96190124,392708,4868510
-112.3369186,43.96205033,392745,4868526
-112.336466,43.96219992,392781,4868542
-112.3360137,43.96234924,392818,4868558
-112.3355612,43.96249854,392854,4868574
-112.3351089,43.96264748,392891,4868590
-112.3345452,43.9627935,392936,4868606
-112.3342039,43.96294514,392964,4868622
-112.3336397,43.96309153,393009,4868637
-112.3333021,43.96316381,393037,4868645
-112.3329605,43.96331627,393064,4868662
-112.3322812,43.96354108,393119,4868686
-112.3317132,43.96376817,393165,4868710
-112.3311415,43.96407555,393212,4868744
-112.3308,43.96422788,393239,4868760
-112.3304583,43.96438021,393267,4868776
-112.3300053,43.96452987,393304,4868793
-112.3295485,43.96475991,393341,4868817
-112.3289808,43.96498751,393387,4868842
-112.3286353,43.96521996,393415,4868867
-112.3281782,43.96544975,393452,4868892
-112.3276094,43.96567684,393498,4868917
-112.3271522,43.96590661,393535,4868942
-112.3268136,43.96597865,393562,4868949
-112.3262479,43.96612551,393608,4868965
-112.325675,43.96643297,393654,4868998
-112.325221,43.96658268,393691,4869014
-112.3247668,43.96673237,393728,4869030
-112.3242002,43.96687944,393774,4869046
-112.3237457,43.96702928,393810,4869062
-112.3235149,43.96718453,393829,4869079
-112.3229457,43.96741224,393875,4869104
-112.3224912,43.96756197,393912,4869120
-112.3221454,43.96779494,393940,4869145
-112.3218026,43.96794741,393968,4869162
-112.3213402,43.96825796,394005,4869195
-112.3207727,43.96840528,394051,4869211
-112.3203171,43.96855531,394088,4869227
-112.3198543,43.96886605,394126,4869261
-112.3193952,43.96909653,394163,4869286
-112.3189398,43.96924687,394200,4869302
-112.3184804,43.96947719,394237,4869327
-112.318025,43.96962743,394274,4869343
-112.3176783,43.96986067,394302,4869369
-112.3171075,43.9700887,394348,4869393
-112.3167601,43.97032189,394376,4869419
-112.3164143,43.97055519,394405,4869444
-112.3159586,43.97070541,394441,4869460
-112.3156068,43.97101942,394470,4869495
-112.3153716,43.97125546,394490,4869521
-112.3150244,43.97148884,394518,4869546
-112.3146771,43.97172227,394546,4869572
-112.3141018,43.97203098,394593,4869605
-112.3136422,43.97226191,394630,4869630
-112.31318,43.97257298,394668,4869664
-112.3127203,43.97280394,394705,4869689
-112.3124855,43.97303996,394724,4869715
-112.3120255,43.97327102,394761,4869740
-112.3116813,43.97342424,394789,4869757
-112.311219,43.97373569,394827,4869791
-112.3105291,43.97412194,394883,4869833
-112.3099527,43.97443112,394930,4869867
-112.3097208,43.97458695,394949,4869884
-112.3093728,43.97482073,394977,4869909
-112.308911,43.97505223,395014,4869934
-112.3084447,43.97536467,395052,4869968
-112.3080984,43.97551855,395080,4869985
-112.3077523,43.97567241,395108,4870002
-112.3074,43.97598707,395137,4870036
-112.3069389,43.97621855,395175,4870061
-112.3065904,43.97645268,395203,4870087
-112.3062383,43.97676728,395232,4870121
-112.305888,43.97700189,395260,4870147
-112.3054208,43.97731482,395298,4870181
-112.3050745,43.97746886,395326,4870198
-112.304724,43.97770367,395355,4870223
-112.3042609,43.97793598,395392,4870249
-112.3037985,43.97816812,395430,4870274
-112.3033368,43.97840003,395467,4870299
-112.3031013,43.97863667,395487,4870325
-112.3027528,43.97887105,395515,4870351
-112.3022853,43.97910484,395553,4870376
-112.3019344,43.97933981,395582,4870402
-112.3016918,43.97965829,395602,4870437
-112.3012291,43.97989067,395639,4870462
-112.3008784,43.98012574,395668,4870487
-112.3004202,43.9802772,395705,4870504
-112.3000647,43.98059337,395734,4870538
-112.2997138,43.98082857,395762,4870564
-112.2992549,43.98098008,395799,4870580
-112.2975338,43.9821034,395939,4870703
-112.2975215,43.98234447,395941,4870730
-112.2975041,43.98266583,395943,4870765
-112.2973695,43.98306483,395954,4870809
-112.2970197,43.98329751,395983,4870835
-112.2969981,43.98369961,395985,4870880
-112.2968628,43.98409863,395997,4870924
-112.296735,43.98433744,396007,4870950
-112.2967127,43.98473953,396010,4870995
-112.2966964,43.98506135,396012,4871030
-112.2966797,43.98538342,396014,4871066
-112.2965462,43.98578287,396025,4871110
-112.2964179,43.98610213,396036,4871146
-112.29618,43.9864187,396055,4871181
-112.2961545,43.98682123,396058,4871225
-112.2961327,43.98722377,396061,4871270
-112.2962271,43.98754831,396054,4871306
-112.2962026,43.98795134,396056,4871351
-112.2961788,43.98835425,396059,4871395
-112.2961499,43.9888383,396062,4871449
-112.2962491,43.98908253,396054,4871476
-112.2964561,43.98941024,396038,4871513
-112.296547,43.98981593,396032,4871558
-112.29653,43.99013845,396034,4871594
-112.2967365,43.99046635,396018,4871631
-112.2970531,43.99079736,395993,4871668
-112.2973683,43.99120862,395968,4871714
-112.2976879,43.99153926,395943,4871751
-112.298001,43.99203104,395919,4871806
-112.2982174,43.99219761,395902,4871825
-112.2983132,43.99260273,395895,4871870
-112.298524,43.99285029,395879,4871898
-112.2987306,43.99317859,395863,4871935
-112.2990529,43.99342909,395837,4871963
-112.2992597,43.99375731,395821,4871999
-112.299575,43.99416904,395797,4872046
-112.2998958,43.99449964,395772,4872083
-112.3002122,43.9949111,395747,4872129
-112.3004193,43.99523958,395731,4872166
-112.3006264,43.99556812,395715,4872202
-112.3008335,43.9958967,395699,4872239
-112.3009287,43.99622264,395692,4872275
-112.3011359,43.99655131,395676,4872312
-112.301231,43.99687733,395669,4872349
-112.3012141,43.99720071,395671,4872384
-112.301421,43.99752974,395655,4872421
-112.3016292,43.99785821,395638,4872458
