Long Lat Mag_nT
-116.60344630371598 36.75469946562824 48590.9
-116.60342351087462 36.75470170125956 48589.5
-116.6033997436338 36.754703708599486 48588.6
-116.60337502022738 36.75470544834692 48588.2
-116.6033496830036 36.754706980589006 48587.7
-116.6033238769626 36.75470835925948 48587.3
-116.6032977922266 36.754709635659616 48586.6
-116.60327166685244 36.754710851827525 48585.3
-116.60324573824958 36.75471205203445 48583.9
-116.60322019058005 36.75471325332241 48582.4
-116.60319520252304 36.75471445404721 48581.2
-116.60317104181624 36.75471563142796 48580.3
-116.60314769440896 36.754716759643976 48579.1
-116.6031251637658 36.75471781161161 48577.7
-116.60310338186277 36.75471876508872 48576.3
-116.60308230450488 36.75471959048166 48574.6
-116.60306166584688 36.75472029638578 48573.0
-116.60304124758724 36.75472087561879 48571.8
-116.60302083139756 36.75472130793474 48569.6
-116.6030002004316 36.75472152810482 48567.6
-116.6029792680341 36.75472153517871 48566.4
-116.60295788230688 36.75472133016872 48564.7
-116.6029359373468 36.75472093060044 48563.4
-116.60291329321264 36.7547203678669 48562.2
-116.60289002994745 36.754719746631885 48561.8
-116.60286615929007 36.75471915553175 48561.9
-116.6028417722534 36.754718672234645 48561.3
-116.6028169282665 36.75471838782654 48560.4
-116.60279181137037 36.754718304384106 48561.0
-116.60276661997412 36.754718414400095 48561.1
-116.6027415299022 36.75471870047358 48559.9
-116.602716707064 36.75471914873764 48558.7
-116.60269219926636 36.75471967602963 48557.8
-116.60266807721388 36.75472022633527 48556.2
-116.60264434261444 36.75472075579568 48554.3
-116.60262098614974 36.75472122033995 48552.7
-116.60259785344628 36.754721612676256 48551.1
-116.60257479470624 36.75472192692233 48549.6
-116.60255166468896 36.75472214581685 48548.0
-116.60252832385784 36.75472222205738 48546.6
-116.6025047535226 36.75472215507145 48545.6
-116.60248090829432 36.75472195262961 48544.7
-116.6024567908275 36.75472163921993 48543.7
-116.60243241943182 36.754721242441946 48543.2
-116.60240788635495 36.75472081664776 48543.1
-116.60238323266104 36.75472039724976 48542.2
-116.60235851022628 36.754720010652576 48541.8
-116.60233375720496 36.75471968736941 48541.4
-116.60230899188852 36.75471943686909 48540.3
-116.60228423120056 36.754719272665206 48539.4
-116.60225948377747 36.75471920678572 48538.5
-116.60223473138544 36.75471925314238 48537.2
-116.60220995003937 36.754719379048254 48536.5
-116.60218515486469 36.75471955141344 48536.6
-116.60216034999752 36.75471972383892 48536.5
-116.60213554483464 36.75471984998837 48535.1
-116.60211074893547 36.754719922337244 48533.8
-116.60208594663564 36.754719947665045 48533.1
-116.60206113436956 36.75471993810269 48531.6
-116.60203632701383 36.754719910322166 48529.8
-116.60201153696288 36.75471988361266 48529.3
-116.60198677329042 36.7547198694354 48528.8
-116.60196204977036 36.75471988660488 48527.9
-116.60193737121772 36.75471996298474 48527.1
-116.60191271041404 36.75472010339323 48526.2
-116.60188806236526 36.75472031468249 48525.4
-116.60186342693866 36.75472060185268 48524.7
-116.60183879693103 36.75472096657457 48523.7
-116.60181417361476 36.75472136424748 48523.0
-116.60178958720236 36.75472175425909 48522.1
-116.60176504757936 36.7547221021192 48521.3
-116.60174056345822 36.75472236909238 48520.3
-116.60171612937188 36.7547225514576 48519.7
-116.60169170872688 36.75472264868724 48519.5
-116.6016672637902 36.75472266299792 48518.5
-116.60164276033572 36.75472258853141 48517.3
-116.60161820308242 36.75472244653454 48516.5
-116.60159358316194 36.75472225497981 48516.0
-116.6015689113816 36.754722035828046 48516.3
-116.60154420440988 36.75472181275644 48515.9
-116.60151948189862 36.754721600320565 48514.5
-116.60149476247288 36.75472141111371 48513.4
-116.6014700713578 36.754721255800746 48513.3
-116.60144544074728 36.75472114596307 48513.4
-116.60142087152344 36.75472108726788 48513.1
-116.60139636781068 36.7547210956716 48512.6
-116.60137192513857 36.754721178491934 48511.9
-116.60134752281476 36.75472133965414 48511.0
-116.60132311536576 36.754721545051865 48510.3
-116.60129869568972 36.754721753157135 48509.3
-116.60127424948564 36.75472192019516 48508.3
-116.60124977676244 36.754722008534415 48507.4
-116.6012252993924 36.75472202688269 48506.0
-116.60120080613096 36.75472198855312 48504.7
-116.60117630448698 36.754721910910064 48504.9
-116.60115182166264 36.754721807564174 48505.5
-116.6011273736661 36.75472169617044 48504.7
-116.6011029614916 36.7547215833337 48503.1
-116.60107858506603 36.754721468831264 48502.1
-116.6010542466182 36.75472134937964 48501.3
-116.60102994348668 36.75472122200648 48500.4
-116.60100566873425 36.75472109377207 48499.3
-116.60098140629644 36.75472097587475 48498.3
-116.60095712916888 36.75472088214999 48498.0
-116.60093280381923 36.754720823348606 48497.1
-116.60090841349312 36.75472081464689 48495.9
-116.60088394714964 36.75472087080464 48495.4
-116.60085928189892 36.754720999401975 48495.7
-116.60083463305077 36.754721175915066 48495.9
-116.600809937666 36.75472138531241 48495.7
-116.60078521838568 36.754721618780735 48494.8
-116.60076048255873 36.754721876563465 48494.8
-116.60073573497384 36.754722149837214 48494.6
-116.60071097789596 36.75472242982718 48493.4
-116.60068620678624 36.754722707389234 48492.8
-116.60066142909751 36.75472296531383 48492.7
-116.60063666716968 36.7547231979522 48492.7
-116.60061193636456 36.754723405191605 48492.5
-116.60058724475996 36.754723591517774 48492.2
-116.60056260845 36.75472375956812 48491.6
-116.6005380185398 36.75472392090734 48491.1
-116.60051346247371 36.754724084461344 48490.5
-116.60048892852066 36.754724260880245 48489.0
-116.60046438916164 36.75472445732027 48487.8
-116.60043983258458 36.75472465468647 48487.3
-116.60041526546048 36.75472482464661 48487.5
-116.60039068722962 36.75472494248579 48487.8
-116.60036612581116 36.75472497816997 48487.2
-116.60034158703117 36.754724939375976 48486.4
-116.60031705359329 36.754724837524655 48485.4
-116.60029250592842 36.75472468894581 48484.8
-116.6002679296856 36.75472450980405 48484.5
-116.60024331097918 36.754724327587205 48484.4
-116.6002186438518 36.754724163404994 48483.8
-116.6001939446356 36.75472403681335 48483.7
-116.60016921362671 36.75472396976473 48484.1
-116.60014447188058 36.75472395879136 48484.0
-116.60011974052404 36.75472400523993 48483.1
-116.60009503413356 36.754724111250816 48482.3
-116.60007034689971 36.75472428336075 48481.5
-116.60004567667676 36.75472450560625 48480.9
-116.6000210272574 36.75472476652509 48480.3
-116.59999638894736 36.75472504231898 48479.6
-116.59997175739326 36.754725298398974 48478.8
-116.59994713344696 36.75472552303636 48478.4
-116.59992250787036 36.75472571938951 48478.0
-116.59989787124717 36.75472588800721 48477.7
-116.59987322635644 36.754726020580826 48477.4
-116.59984857493714 36.754726110741125 48476.9
-116.5998239154257 36.75472614719268 48476.2
-116.59979923906684 36.75472612381776 48475.4
-116.59977456615913 36.7547260342339 48474.5
-116.59974990413522 36.75472590324394 48474.2
-116.59972524780495 36.75472574565528 48474.3
-116.599700596598 36.75472557127626 48474.1
