Long Lat Mag_nT
-116.60881942692151 36.758388284343 48747.1
-116.60884142022014 36.75838985258648 48750.1
-116.60886430347124 36.758391317479294 48749.4
-116.60888807473988 36.758392518645664 48747.7
-116.60891248548047 36.75839342236619 48747.0
-116.60893738037556 36.75839402319125 48747.0
-116.60896262007176 36.75839435106779 48746.5
-116.6089881947958 36.75839443432655 48745.3
-116.60901395896758 36.758394377707965 48743.8
-116.6090399199566 36.75839423774973 48743.0
-116.60906580832632 36.75839405525307 48742.8
-116.60909165813923 36.75839385382472 48742.5
-116.60911738948958 36.75839364211973 48742.3
-116.60914293159364 36.75839341346633 48742.2
-116.60916821821672 36.758393160839645 48741.3
-116.60919317350096 36.75839287603363 48740.2
-116.6092178422744 36.7583925688934 48739.9
-116.609242261652 36.75839224711391 48739.6
-116.60926649557015 36.75839191333013 48739.3
-116.60929061773648 36.758391574144405 48739.1
-116.60931471801852 36.75839124139002 48738.7
-116.60933884295387 36.75839092345886 48738.1
-116.60936302545304 36.75839062356592 48737.9
-116.6093872868364 36.758390337139765 48737.9
-116.60941161654227 36.75839005536397 48737.2
-116.60943600189816 36.75838978181908 48736.6
-116.60946042702042 36.758389523486045 48736.1
-116.60948485264232 36.75838928940136 48735.0
-116.60950924715108 36.75838907758271 48734.0
-116.60953358799864 36.75838888727797 48733.1
-116.60955786661005 36.758388719845854 48733.1
-116.60958206247132 36.75838858327005 48732.7
-116.60960620399425 36.75838847683592 48731.4
-116.60963032187796 36.758388395730975 48730.6
-116.60965444784333 36.758388323298206 48730.4
-116.60967863237376 36.75838822809315 48730.4
-116.6097028901696 36.7583880893523 48729.7
-116.60972721473784 36.758387890718 48728.6
-116.6097515747996 36.75838762605616 48727.3
-116.60977597590346 36.75838728548563 48726.0
-116.60980038658732 36.75838688924201 48725.1
-116.60982479203112 36.75838644619464 48724.3
-116.6098491747457 36.75838596522386 48723.2
-116.60987354158176 36.75838544696565 48722.0
-116.60989790067826 36.75838491201196 48721.0
-116.60992227098588 36.7583843854384 48719.9
-116.6099466841754 36.75838389408671 48718.9
-116.60997113717087 36.758383474737975 48717.5
-116.6099956255416 36.75838313486096 48716.2
-116.61002014228892 36.75838287641424 48715.1
-116.61004468529109 36.75838268939269 48714.0
-116.61006921913464 36.75838256106568 48712.3
-116.61009374544012 36.758382456346176 48710.7
-116.61011826400232 36.75838235506662 48709.5
-116.61014277831455 36.75838224548646 48708.3
-116.61016731046897 36.758382113691326 48706.8
-116.61019186783643 36.75838195515804 48705.4
-116.61021645118768 36.758381770047095 48703.6
-116.61024105448344 36.75838156277575 48701.8
-116.61026567585075 36.7583813387962 48700.4
-116.6102903003309 36.75838110675997 48699.0
-116.61031491947912 36.75838087300034 48697.4
-116.61033953557973 36.75838064093632 48695.7
-116.61036415049804 36.75838041314166 48693.9
-116.61038876070148 36.75838019024649 48692.2
-116.61041335970202 36.758379976500656 48690.2
-116.61043794399676 36.758379777301634 48688.4
-116.61046249808844 36.75837959325069 48686.6
-116.61048702127718 36.75837941136647 48685.0
-116.61051151969772 36.75837922147126 48683.1
-116.61053600798073 36.75837902728993 48681.3
-116.6105604962776 36.75837884533233 48679.6
-116.61058498744758 36.75837869301972 48677.3
-116.61060947684491 36.75837858004199 48675.0
-116.61063397241314 36.75837850861744 48672.8
-116.6106584687194 36.75837848476044 48670.5
-116.61068298583228 36.75837848709308 48668.6
-116.61070753691968 36.75837849286215 48666.9
-116.6107321125622 36.75837848624213 48664.7
-116.61075670789614 36.75837845253504 48662.5
-116.6107813044922 36.758378391627694 48660.1
-116.61080589223496 36.7583782986694 48657.5
-116.61083045629069 36.758378168291216 48655.2
-116.6108550057266 36.758377995972914 48653.3
-116.61087953643867 36.7583777959767 48651.4
-116.61090404929335 36.75837757273131 48649.2
-116.61092854504209 36.75837733046524 48646.5
-116.61095302773484 36.75837707798772 48643.9
-116.61097749782869 36.75837683367743 48641.0
-116.61100196120904 36.75837661081236 48638.4
-116.61102644277872 36.75837642022619 48636.4
-116.61105094499015 36.7583762799352 48634.4
-116.61107547108476 36.75837618338248 48631.8
-116.61110002611176 36.75837612093966 48629.0
-116.6111246189918 36.758376087996446 48626.7
-116.6111492409766 36.75837608851457 48624.2
-116.61117387800029 36.75837611662663 48621.6
-116.61119851867004 36.758376167844766 48618.9
-116.61122315429692 36.75837623809746 48616.1
-116.61124777035587 36.75837632344992 48613.6
-116.61127236683812 36.758376416431055 48611.3
-116.6112969357308 36.75837651342738 48608.7
-116.6113214676376 36.75837661275919 48606.2
