sample,layer,easting,northing,total(kg/m2),<=-4phi,<=-3.5phi,<=-3phi,<=-2.5phi,<=-2phi,<=-1.5phi, <=-1phi,<=-0.5phi,<=0phi,<=0.5phi,<=1phi,<=1.5phi,<=2phi,<=2.5phi,<=3phi,>3phi
21, m, 522453, 1381550, 147.72, 0.00, 0.00, 0.00, 0.00, 0.46, 1.31, 4.59, 11.30 , 17.86 , 23.57 , 21.06 , 17.44 , 12.96 , 8.56 , 5.94 , 22.65 
22, m,521894, 1380712, 170.75, 0.00, 0.00, 0.00, 0.33, 1.09, 4.31, 10.37, 2.46 , 32.93 , 37.51 , 24.57 , 16.60 , 12.29 , 7.26 , 4.81 , 16.22 
23, b, 529889, 1379931, 246.92, 0.00, 0.00, 0.00, 0.00, 0.27, 1.49, 5.16, 13.04 , 35.46 , 63.92 , 64.19 , 36.41 , 16.37 , 6.05 , 1.77 , 2.79 
24, m, 529139, 1380417, 831.91, 0.00, 5.47, 31.23, 55.16, 79.32, 127.41, 141.31, 164.79 , 126.27 , 73.39 , 21.88 , 4.33 , 1.14 , 0.23 , 0.00 , 0.00 
25, m,  528622, 1380874, 1432.94, 11.60, 15.47, 28.62, 54.15, 112.55, 208.85, 262.99, 303.60 , 231.67 , 137.30 , 51.44 , 11.22 , 3.09 , 0.39 , 0.00 , 0.00 
26, m, 527524, 1380945, 737.68, 9.46, 8.48, 30.56, 42.59, 51.47, 108.06, 140.59, 159.13 , 104.11 , 59.16 , 17.35 , 4.93 , 1.58 , 0.20 , 0.00 , 0.00 
27, a, 526823, 1381601, 149.18, 6.74, 3.44, 10.85, 19.11, 22.94, 26.83, 23.21, 18.88 , 9.55 , 4.51 , 1.83 , 0.76 , 0.40 , 0.13 , 0.00 , 0.00 
27, b, 526823, 1381601, 243.91, 0.00, 0.00, 0.35, 1.60, 5.37, 9.83, 19.18, 36.33 , 54.46 , 52.09 , 41.49 , 14.85 , 4.32 , 1.39 , 0.98 , 1.67 
28, a, 526524, 1381709, 112.10, 4.20, 1.75, 5.49, 10.18, 13.95, 24.22, 24.06, 16.49 , 7.23 , 2.02 , 0.83 , 0.95 , 0.52 , 0.18 , 0.03 , 0.00 
28, b, 526524, 1381709, 225.68, 0.00, 0.00, 0.26, 1.17, 1.69, 5.01, 10.93, 27.97 , 44.37 , 60.89 , 29.73 , 12.43 , 4.75 , 3.77 , 2.60 , 20.10 
29, a, 524433, 1381454, 80.41, 0.51, 0.42, 1.76, 5.04, 11.80, 18.07, 18.78, 15.01 , 5.99 , 1.76 , 0.51 , 0.33 , 0.24 , 0.13 , 0.04 , 0.02 
29, b, 524433, 1381454, 166.62, 0.00, 0.00, 0.00, 0.48, 1.16, 4.78, 11.69, 25.45 , 40.04 , 48.01 , 25.26 , 7.78 , 1.69 , 0.24 , 0.05 , 0.00 
30, m, 523722, 1381349, 276.09, 0.00, 0.00, 2.27, 3.32, 11.90, 26.80, 44.53, 58.29 , 43.48 , 31.74 , 18.62 , 13.44 , 6.88 , 3.16 , 2.11 , 9.55 
31, a, 528142, 1381657, 277.94, 3.87, 5.06, 19.12, 40.06, 50.96, 60.28, 45.82, 30.81 , 12.80 , 5.45 , 2.05 , 1.11 , 0.47 , 0.08 , 0.00 , 0.00 
31, b, 528142, 1381657, 421.00, 0.00, 0.00, 2.73, 1.19, 5.94, 20.31, 47.98, 86.10 , 96.91 , 83.49 , 35.27 , 11.40 , 3.09 , 1.90 , 2.26 , 22.45 
34, a, 530232, 1382772, 269.34, 7.55, 10.65, 20.11, 33.86, 39.93, 50.65, 43.53, 32.45 , 17.71 , 9.03 , 2.61 , 0.85 , 0.35 , 0.07 , 0.00 , 0.00 
34, b, 530232, 1382772, 99.09, 1.68, 0.79, 1.43, 4.65, 6.08, 7.84, 10.87, 15.93 , 16.49 , 15.52 , 9.83 , 4.75 , 1.71 , 0.54 , 0.28 , 0.71 
35, m, 530418, 1383102, 753.29, 0.00, 9.02, 24.97, 46.79, 79.74, 117.09, 145.62, 149.40 , 108.27 , 54.14 , 14.27 , 3.15 , 0.63 , 0.21 , 0.00 , 0.00 
36, a, 531371, 1382795, 656.80, 178.82, 57.05, 62.74, 73.83, 64.44, 64.30, 53.49, 42.39 , 26.32 , 18.07 , 8.82 , 3.84 , 1.71 , 0.57 , 0.28 , 0.14 
36, b, 531371, 1382795, 238.85, 8.42, 3.51, 5.12, 16.71, 24.22, 35.52, 35.38, 35.73 , 29.55 , 25.27 , 12.21 , 4.28 , 1.12 , 0.49 , 0.35 , 0.98 
37, a, 529666, 1383245, 302.70, 0.00, 2.05, 4.43, 11.00, 18.23, 33.18, 46.89, 53.71 , 58.47 , 45.66 , 19.87 , 6.41 , 1.56 , 0.49 , 0.33 , 0.41 
37, b, 529666, 1383245, 106.16, 0.00, 0.00, 0.78, 1.60, 4.09, 7.93, 12.63, 19.19 , 19.66 , 14.95 , 7.03 , 3.25 , 1.83 , 1.63 , 1.86 , 9.73 
38, m, 528975, 1383175, 383.48, 0.00, 0.83, 0.52, 2.59, 4.96, 10.65, 22.86, 48.30 , 65.36 , 68.05 , 35.89 , 19.03 , 14.58 , 11.48 , 10.65 , 67.74 
39, m, 522302, 1377932, 142.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.28, 0.84, 2.60 , 5.55 , 12.39 , 21.78 , 31.13 , 27.45 , 19.38 , 9.83 , 11.51 
40, m, 528159, 1380191, 919.83, 0.00, 5.18, 8.54, 27.18, 45.81, 103.27, 155.55, 211.19 , 178.07 , 122.94 , 44.26 , 11.65 , 2.07 , 0.52 , 0.00 , 3.62 
41, m, 527137, 1380167, 679.33, 0.00, 6.85, 5.61, 9.14, 17.23, 56.68, 119.38, 176.68 , 151.56 , 97.79 , 29.48 , 6.85 , 1.66 , 0.21 , 0.21 , 0.00 
42, a, 526109, 1380543, 362.99, 0.00, 0.00, 4.15, 7.43, 23.72, 48.64, 78.26, 99.36 , 61.54 , 26.89 , 6.23 , 3.28 , 1.75 , 0.66 , 0.55 , 0.55 
42, b, 526109, 1380543, 193.95, 0.00, 0.00, 1.53, 5.15, 9.28, 20.31, 31.22, 48.13 , 40.56 , 27.55 , 7.75 , 2.04 , 0.40 , 0.06 , 0.00 , 0.00 
43, a, 525983, 1379744, 452.74, 0.00, 0.00, 0.00, 2.64, 6.47, 16.89, 34.18, 73.24 , 103.98 , 116.91 , 61.10 , 22.83 , 6.60 , 1.72 , 0.92 , 5.28 
43, b, 525983, 1379744, 97.12, 0.00, 0.00, 0.00, 0.00, 0.40, 0.95, 3.02, 6.91 , 12.66 , 19.83 , 20.45 , 13.80 , 6.94 , 2.79 , 1.86 , 7.51 
45, m, 523983, 1378749, 246.08, 0.00, 0.00, 0.00, 0.00, 0.36, 2.36, 10.24, 29.66 , 51.22 , 60.18 , 52.51 , 25.43 , 7.88 , 1.58 , 0.72 , 3.94 
46, m, 523174, 1379228, 250.31, 0.00, 0.00, 0.00, 0.07, 0.79, 3.45, 10.36, 31.59 , 54.54 , 76.84 , 42.67 , 18.99 , 6.62 , 1.94 , 1.01 , 1.44 
47, m, 522536, 1378550, 367.06, 0.00, 0.00, 0.00, 0.00, 0.43, 1.41, 3.15, 7.38 , 18.68 , 52.13 , 69.39 , 56.04 , 50.28 , 43.22 , 31.17 , 33.77 
48, m, 521505, 1378499, 274.43, 0.00, 0.00, 0.00, 0.29, 0.72, 1.08, 3.83, 11.34 , 27.15 , 49.90 , 57.70 , 48.39 , 31.99 , 15.74 , 7.94 , 18.34 
49, m, 521747, 1377510, 250.43, 0.00, 0.00, 0.00, 0.00, 0.00, 0.79, 2.36, 7.41 , 22.15 , 63.85 , 73.15 , 45.88 , 23.10 , 8.04 , 1.81 , 1.89 
50, m, 522806, 1377761, 146.92, 0.00, 0.00, 0.00, 0.00, 0.34, 0.55, 2.24, 5.36 , 12.54 , 27.22 , 31.40 , 29.67 , 17.77 , 7.09 , 3.55 , 9.20 
51, m,  523894, 1377922, 238.07, 3.25, 0.00, 0.45, 0.00, 0.57, 1.21, 3.06, 7.08 , 17.78 , 38.31 , 50.99 , 49.78 , 27.98 , 11.03 , 5.99 , 20.59 
52, m, 524826, 1378577, 284.53, 0.00, 0.00, 0.00, 0.34, 0.25, 1.02, 3.56, 9.23 , 23.11 , 48.68 , 54.77 , 46.31 , 34.12 , 19.81 , 18.29 , 25.06 
53, m, 525759, 1378887, 225.22, 0.00, 0.00, 0.85, 0.91, 1.56, 5.02, 11.92, 27.17 , 43.26 , 61.37 , 40.39 , 18.96 , 6.12 , 1.69 , 1.04 , 4.95 
54, m, 526664, 1378620, 328.88, 0.00, 0.00, 0.00, 0.49, 0.88, 3.01, 9.72, 27.03 , 51.54 , 68.75 , 42.88 , 28.20 , 17.31 , 13.32 , 11.96 , 53.78 
55, m, 527927, 1379208, 434.37, 0.00, 0.00, 0.00, 2.17, 5.61, 22.43, 50.09, 85.90 , 91.00 , 88.58 , 46.39 , 19.76 , 6.50 , 2.68 , 2.17 , 11.09 
56, m, 528574, 1379238, 215.71, 0.00, 0.00, 0.64, 3.24, 4.29, 8.40, 11.29, 15.29  , 17.84 , 25.31 , 25.71 , 28.26 , 21.83 , 12.39 , 9.21 , 32.02 
57, m, 530429, 1379430, 343.03, 0.00, 0.00, 0.00, 0.41, 0.82, 3.39, 6.89, 16.97 , 37.02 , 72.49 , 70.33 , 49.77 , 34.14 , 16.45 , 9.15 , 25.19 
59, m, 531058, 1380228, 97.82, 0.00, 0.00, 0.31, 0.39, 0.96, 3.19, 7.03, 14.61 , 19.57 , 21.75 , 12.48 , 7.24 , 3.48 , 1.74 , 1.45 , 3.61 
60, a, 530597, 1380732, 141.89, 13.66, 6.34, 21.72, 23.33, 22.95, 22.84, 14.44, 8.36 , 4.11 , 2.16 , 0.93 , 0.56 , 0.30 , 0.11 , 0.04 , 0.04 
60, b, 530597, 1380732, 254.13, 0.00, 0.00, 0.00, 2.76, 4.51, 11.78, 20.80, 37.37 , 47.04 , 59.99 , 42.83 , 15.56 , 9.09 , 0.80 , 0.65 , 0.95 
62, a, 531201, 1381246, 164.32, 44.26, 18.52, 18.47, 20.88, 17.27, 14.50, 11.02, 7.81 , 5.09 , 2.99 , 1.56 , 1.03 , 0.54 , 0.18 , 0.13 , 0.09 
62, b, 531201, 1381246, 143.34, 0.00, 0.42, 2.20, 5.13, 9.69, 20.42, 27.91, 36.13 , 26.60 , 12.24 , 2.01 , 0.19 , 0.12 , 0.04 , 0.04 , 0.19 
63, m, 530293, 1381534, 1872.39, 0.00, 25.32, 71.20, 106.01, 176.69, 308.02, 354.96, 381.34 , 258.44 , 142.41 , 35.34 , 10.02 , 2.64 , 0.00 , 0.00 , 0.00 
64, m, 529451, 1381172, 1498.81, 0.00, 58.44, 66.56, 144.35, 183.05, 295.27, 289.08, 255.03 , 135.45 , 56.11 , 11.61 , 3.10 , 0.77 , 0.00 , 0.00 , 0.00 
65, m, 530518, 1380992, 620.23, 38.34, 13.16, 43.21, 74.24, 100.88, 126.87, 110.95, 66.28 , 27.94 , 11.05 , 3.90 , 1.95 , 0.81 , 0.49 , 0.16 , 0.00  
66, m, 521537, 1376665, 89.40, 0.00, 0.00, 0.00, 0.00, 0.14, 0.08, 0.28, 0.87 , 1.85 , 4.29 , 7.71 , 14.21 , 17.61 , 13.04 , 9.36 , 19.96 
67, m, 522559, 1376999, 12.45, 0.00, 0.00, 0.00, 0.00, 0.01, 0.04, 0.09, 0.18 , 0.39 , 1.11 , 1.74 , 2.69 , 2.60 , 1.32 , 0.69 , 1.59 
